Origin	DATE	Week	OrdersToBeProcessed
TX   	2/1/2017	5	747
CA   	2/3/2017	5	840
AT   	2/10/2017	6	836
CA   	2/13/2017	7	708
IL	2/16/2017	7	939
CA   	2/20/2017	8	927
AT   	2/27/2017	9	464
TX   	2/28/2017	9	969
AT   	3/9/2017	10	605
TX   	3/9/2017	10	969
NY   	3/13/2017	11	826
NY   	3/14/2017	11	450
TX   	3/15/2017	11	1014
AT   	3/16/2017	11	624
IL   	3/21/2017	12	555
CA   	3/23/2017	12	709
CA   	4/3/2017	14	872
IL   	4/6/2017	14	812
AT   	4/11/2017	15	679
CA   	4/11/2017	15	1103
IL   	4/13/2017	15	643
CA   	4/18/2017	16	574
CA   	4/20/2017	16	237
IL   	4/24/2017	17	813
AT   	4/26/2017	17	303
CA   	5/5/2017	18	615
TX   	5/5/2017	18	777
AT   	2/1/2017	5	1178
CA   	2/7/2017	6	558
TX   	2/7/2017	6	783
AT   	2/8/2017	6	1121
CA   	2/8/2017	6	1255
AT   	2/9/2017	6	941
IL	2/9/2017	6	130
TX   	2/13/2017	7	797
NY   	2/13/2017	7	500
TX   	2/15/2017	7	518
TX   	2/16/2017	7	1306
NY   	2/20/2017	8	675
CA   	2/22/2017	8	1071
NY   	2/28/2017	9	743
IL   	3/1/2017	9	906
AT   	3/3/2017	9	809
CA   	3/6/2017	10	700
IL   	3/7/2017	10	1103
TX   	3/10/2017	10	1071
CA   	3/13/2017	11	785
TX   	3/13/2017	11	1133
NULL	NULL	NULL	NULL
CA   	3/20/2017	12	780
CA   	3/22/2017	12	784
IL   	3/23/2017	12	905
AT   	3/29/2017	13	520
IL   	4/3/2017	14	981
NY   	4/3/2017	14	573
AT   	4/7/2017	14	693
NY   	4/10/2017	15	638
NY   	4/11/2017	15	905
CA   	4/13/2017	15	466
AT   	4/14/2017	15	842
CA   	4/14/2017	15	721
IL   	4/20/2017	16	935
CA   	4/25/2017	17	714
NY   	4/26/2017	17	664
TX   	5/2/2017	18	1004
NY   	2/1/2017	5	941
IL	2/2/2017	5	1170
TX   	2/8/2017	6	1009
NY   	2/10/2017	6	499
AT   	2/16/2017	7	804
CA   	2/17/2017	7	618
AT   	2/22/2017	8	576
IL   	2/27/2017	9	682
NY   	2/27/2017	9	553
IL   	2/28/2017	9	631
CA   	3/3/2017	9	1173
NY   	3/7/2017	10	453
NY   	3/8/2017	10	661
AT   	3/13/2017	11	825
CA   	3/14/2017	11	805
NY   	3/17/2017	11	681
CA   	3/21/2017	12	836
TX   	3/22/2017	12	849
NY   	3/23/2017	12	567
NY   	3/24/2017	12	908
AT   	3/28/2017	13	962
TX   	3/29/2017	13	922
CA   	3/30/2017	13	1248
TX   	3/30/2017	13	581
CA   	3/31/2017	13	915
IL   	3/31/2017	13	857
NY   	4/12/2017	15	947
AT   	4/17/2017	16	736
IL   	4/17/2017	16	857
NY   	4/18/2017	16	894
NY   	4/20/2017	16	539
AT   	4/24/2017	17	689
TX   	4/24/2017	17	878
IL   	4/25/2017	17	1106
NY   	4/27/2017	17	606
NY   	4/28/2017	17	508
AT   	5/2/2017	18	696
CA   	5/3/2017	18	958
TX   	2/2/2017	5	981
AT   	2/3/2017	5	796
TX   	2/3/2017	5	1139
IL	2/7/2017	6	1076
IL	2/8/2017	6	1409
NY   	2/8/2017	6	1105
NY   	2/9/2017	6	439
NY   	2/14/2017	7	875
NY   	2/15/2017	7	780
NY   	2/17/2017	7	790
AT   	2/21/2017	8	647
TX   	2/21/2017	8	855
IL	2/23/2017	8	502
NY   	2/23/2017	8	1020
TX   	2/27/2017	9	1066
NY   	3/6/2017	10	859
AT   	3/7/2017	10	927
AT   	3/8/2017	10	1029
CA   	3/9/2017	10	1029
IL   	3/13/2017	11	354
TX   	3/16/2017	11	805
IL   	3/20/2017	12	514
TX   	3/23/2017	12	828
IL   	4/7/2017	14	1123
TX   	4/10/2017	15	1138
TX   	4/12/2017	15	711
CA   	4/17/2017	16	814
AT   	4/18/2017	16	625
TX   	4/19/2017	16	612
CA   	4/21/2017	16	1316
IL   	4/21/2017	16	806
TX   	5/4/2017	18	675
AT   	5/5/2017	18	943
IL	2/6/2017	6	1019
NY   	2/6/2017	6	1258
NY   	2/7/2017	6	515
CA   	2/9/2017	6	1246
AT   	2/13/2017	7	370
IL	2/13/2017	7	836
IL	2/15/2017	7	1174
AT   	2/20/2017	8	878
IL	2/24/2017	8	1151
IL   	3/3/2017	9	853
CA   	3/8/2017	10	908
AT   	3/10/2017	10	606
CA   	3/10/2017	10	1305
TX   	3/14/2017	11	381
AT   	3/15/2017	11	721
CA   	3/17/2017	11	644
AT   	3/24/2017	12	522
CA   	3/24/2017	12	1041
TX   	3/24/2017	12	903
AT   	3/27/2017	13	484
IL   	3/28/2017	13	916
NY   	3/29/2017	13	931
TX   	3/31/2017	13	652
AT   	4/3/2017	14	1141
AT   	4/10/2017	15	632
CA   	4/10/2017	15	891
TX   	4/11/2017	15	893
CA   	4/12/2017	15	582
NY   	4/14/2017	15	433
TX   	4/18/2017	16	1016
AT   	4/19/2017	16	660
TX   	4/20/2017	16	748
NY   	4/24/2017	17	395
NY   	4/25/2017	17	802
AT   	4/27/2017	17	671
CA   	4/27/2017	17	1147
AT   	4/28/2017	17	945
CA   	4/28/2017	17	378
IL   	5/1/2017	18	668
NY   	5/2/2017	18	388
AT   	5/4/2017	18	1077
CA   	5/4/2017	18	559
CA   	2/1/2017	5	803
TX   	2/20/2017	8	578
CA   	2/28/2017	9	711
AT   	3/1/2017	9	677
CA   	3/1/2017	9	971
NY   	3/3/2017	9	754
IL   	3/10/2017	10	560
AT   	3/17/2017	11	485
NY   	3/20/2017	12	489
NY   	3/21/2017	12	559
IL   	3/22/2017	12	656
NY   	3/22/2017	12	594
NY   	3/28/2017	13	442
IL   	3/29/2017	13	581
IL   	3/30/2017	13	732
NY   	3/30/2017	13	847
NY   	3/31/2017	13	617
AT   	4/4/2017	14	872
IL   	4/5/2017	14	968
NY   	4/6/2017	14	578
NY   	4/7/2017	14	471
AT   	4/12/2017	15	387
AT   	4/13/2017	15	861
NY   	4/13/2017	15	567
IL   	4/14/2017	15	948
TX   	4/17/2017	16	927
CA   	4/19/2017	16	1217
AT   	4/20/2017	16	582
TX   	4/25/2017	17	957
CA   	4/26/2017	17	893
TX   	4/26/2017	17	1257
NY   	5/1/2017	18	593
IL   	5/2/2017	18	668
IL   	5/3/2017	18	1117
IL	2/1/2017	5	757
IL	2/3/2017	5	802
NY   	2/3/2017	5	765
CA   	2/6/2017	6	1182
TX   	2/6/2017	6	1366
AT   	2/7/2017	6	803
IL	2/10/2017	6	835
CA   	2/15/2017	7	780
IL	2/17/2017	7	997
NY   	2/21/2017	8	394
TX   	2/22/2017	8	679
NY   	3/1/2017	9	546
TX   	3/2/2017	9	730
NY   	3/2/2017	9	880
IL   	3/8/2017	10	613
NY   	3/10/2017	10	437
IL   	3/16/2017	11	767
IL   	3/17/2017	11	582
AT   	3/21/2017	12	699
TX   	3/21/2017	12	636
AT   	3/22/2017	12	523
TX   	3/28/2017	13	971
TX   	4/4/2017	14	967
NY   	4/4/2017	14	828
AT   	4/5/2017	14	783
AT   	4/6/2017	14	1123
CA   	4/6/2017	14	1396
TX   	4/7/2017	14	584
IL   	4/11/2017	15	1093
NY   	4/17/2017	16	871
AT   	4/25/2017	17	619
IL   	4/27/2017	17	891
IL   	4/28/2017	17	996
AT   	5/1/2017	18	856
CA   	5/1/2017	18	419
TX   	5/1/2017	18	710
CA   	5/8/2017	19	638
NULL	NULL	NULL	NULL
NY   	2/2/2017	5	889
AT   	2/15/2017	7	926
CA   	2/16/2017	7	1097
AT   	2/17/2017	7	804
IL	2/21/2017	8	1140
CA   	2/23/2017	8	632
TX   	2/24/2017	8	887
CA   	3/2/2017	9	997
IL   	3/9/2017	10	403
NY   	3/15/2017	11	793
AT   	3/20/2017	12	972
AT   	3/23/2017	12	836
CA   	3/27/2017	13	675
NY   	3/27/2017	13	851
CA   	3/29/2017	13	580
CA   	4/7/2017	14	724
NY   	4/19/2017	16	631
TX   	4/21/2017	16	399
NY   	4/21/2017	16	509
CA   	4/24/2017	17	333
CA   	5/2/2017	18	1163
NY   	5/4/2017	18	897
IL   	5/5/2017	18	1052
AT   	2/6/2017	6	837
AT   	2/14/2017	7	916
CA   	2/14/2017	7	977
TX   	2/14/2017	7	1004
IL	2/20/2017	8	1307
AT   	2/23/2017	8	531
TX   	2/23/2017	8	584
AT   	2/24/2017	8	935
CA   	2/24/2017	8	1088
TX   	3/3/2017	9	624
AT   	3/6/2017	10	740
IL   	3/6/2017	10	546
NY   	3/9/2017	10	657
AT   	3/14/2017	11	547
IL   	3/15/2017	11	591
NY   	3/16/2017	11	584
TX   	3/20/2017	12	865
IL   	3/24/2017	12	776
TX   	3/27/2017	13	869
CA   	3/28/2017	13	1156
AT   	3/30/2017	13	842
AT   	3/31/2017	13	504
CA   	4/5/2017	14	1115
